Year,ClassType,Rank,Team,User,TotalCommits,FiveStar,FourStar,ThreeStar,TwoStar,OneStar,Points
2041,OVERALL,1,Nebraska,,33,4,27,2,0.0,0.0,258.25
2041,HS,1,Nebraska,,29,4,24,1,0.0,0.0,256.45
2041,TRANSFER,1,Notre Dame,,15,0,12,3,0.0,0.0,206.3
2041,OVERALL,2,Bowling Green,Devin,22,5,13,4,0.0,0.0,253.0
2041,HS,2,Georgia,,26,2,21,3,0.0,0.0,244.65
2041,TRANSFER,2,Alabama,,15,0,9,6,0.0,0.0,198.2
2041,OVERALL,3,Georgia,,32,2,25,5,0.0,0.0,247.7
2041,HS,3,Bowling Green,Devin,16,5,9,2,0.0,0.0,238.0
2041,TRANSFER,3,Texas,,16,0,7,9,0.0,0.0,194.9
2041,OVERALL,4,Ohio State,,32,1,27,4,0.0,0.0,243.2
2041,HS,4,USC,,19,3,11,5,0.0,0.0,236.5
2041,TRANSFER,4,Ole Miss,,14,0,6,8,0.0,0.0,182.65
2041,OVERALL,5,USC,,25,3,14,8,0.0,0.0,243.15
2041,HS,5,Ohio State,,22,1,17,4,0.0,0.0,235.2
2041,TRANSFER,5,Michigan,,14,0,6,8,0.0,0.0,182.65
2041,OVERALL,6,Texas Tech,Noah,29,3,12,14,0.0,0.0,241.45
2041,HS,6,Miami,,28,0,16,12,0.0,0.0,231.45
2041,TRANSFER,6,USF,Josh,10,0,10,0,0.0,0.0,170.2
2041,OVERALL,7,Alabama,,30,1,21,8,0.0,0.0,240.25
2041,HS,7,Texas Tech,Noah,18,3,9,6,0.0,0.0,230.6
2041,TRANSFER,7,Ohio State,,10,0,10,0,0.0,0.0,170.2
2041,OVERALL,8,USF,Josh,22,2,16,4,0.0,0.0,240.1
2041,HS,8,Penn State,,21,0,16,5,0.0,0.0,227.25
2041,TRANSFER,8,Auburn,,13,0,4,9,0.0,0.0,168.55
2041,OVERALL,9,Notre Dame,,27,1,20,6,0.0,0.0,239.25
2041,HS,9,San Jose State,Mike,22,2,8,12,0.0,0.0,226.65
2041,TRANSFER,9,San Jose State,Mike,13,0,4,9,0.0,0.0,168.55
2041,OVERALL,10,San Jose State,Mike,35,2,12,21,0.0,0.0,238.9
2041,HS,10,Washington,,22,2,6,14,0.0,0.0,220.25
2041,TRANSFER,10,TCU,,13,0,4,9,0.0,0.0,168.55
2041,OVERALL,11,Penn State,,31,0,22,9,0.0,0.0,235.2
2041,HS,11,Hammond,,19,0,12,7,0.0,0.0,217.85
2041,TRANSFER,11,Tennessee,,12,0,5,6,1.0,0.0,164.6
2041,OVERALL,12,Miami,,30,0,16,14,0.0,0.0,232.35
2041,HS,12,Alabama,,15,1,12,2,0.0,0.0,213.35
2041,TRANSFER,12,North Texas,,15,0,0,15,0.0,0.0,158.7
2041,OVERALL,13,Washington,,27,2,9,16,0.0,0.0,232.05
2041,HS,13,Baylor,,20,0,9,11,0.0,0.0,211.4
2041,TRANSFER,13,Penn State,,10,0,6,4,0.0,0.0,156.1
2041,OVERALL,14,Ole Miss,,34,1,11,22,0.0,0.0,230.1
2041,HS,14,Panama City,,18,0,10,8,0.0,0.0,210.7
2041,TRANSFER,14,Duke,,14,0,0,14,0.0,0.0,154.2
2041,OVERALL,15,Michigan,,28,0,15,13,0.0,0.0,229.75
2041,HS,15,Oregon,,15,1,10,4,0.0,0.0,208.95
2041,TRANSFER,15,Houston,,14,0,0,13,1.0,0.0,152.45
2041,OVERALL,16,Hammond,,24,0,16,8,0.0,0.0,229.65
2041,HS,16,Ole Miss,,20,1,5,14,0.0,0.0,205.35
2041,TRANSFER,16,Texas Tech,Noah,11,0,3,8,0.0,0.0,150.6
2041,OVERALL,17,Rapid City,,24,0,14,10,0.0,0.0,226.9
2041,HS,17,Florida State,Nick,15,0,11,4,0.0,0.0,203.95
2041,TRANSFER,17,Florida State,Nick,11,0,3,8,0.0,0.0,150.6
2041,OVERALL,18,Florida State,Nick,26,0,14,12,0.0,0.0,226.25
2041,HS,18,Rapid City,,15,0,10,5,0.0,0.0,201.25
2041,TRANSFER,18,Oregon,,12,0,1,11,0.0,0.0,147.8
2041,OVERALL,19,Oregon,,27,1,11,15,0.0,0.0,225.15
2041,HS,19,NC State,,18,0,6,12,0.0,0.0,196.6
2041,TRANSFER,19,E. Michigan,,12,0,0,12,0.0,0.0,142.8
2041,OVERALL,20,Clemson,,19,1,12,6,0.0,0.0,224.6
2041,HS,20,LSU,,15,0,8,7,0.0,0.0,194.85
2041,TRANSFER,20,Panama City,,12,0,0,12,0.0,0.0,142.8
2041,OVERALL,21,TCU,,27,0,13,14,0.0,0.0,224.05
2041,HS,21,Florida,Doug,17,0,6,11,0.0,0.0,194.05
2041,TRANSFER,21,Florida,Doug,9,0,5,4,0.0,0.0,142.65
2041,OVERALL,22,Texas,,26,0,12,14,0.0,0.0,222.7
2041,HS,22,Michigan,,14,0,9,5,0.0,0.0,193.7
2041,TRANSFER,22,Illinois,,13,0,0,10,3.0,0.0,141.85
2041,OVERALL,23,Florida,Doug,26,0,11,15,0.0,0.0,220.65
2041,HS,23,TCU,,14,0,9,5,0.0,0.0,193.7
2041,TRANSFER,23,Rapid City,,9,0,4,5,0.0,0.0,138.1
2041,OVERALL,24,Auburn,,30,1,7,22,0.0,0.0,219.3
2041,HS,24,Arizona State,,18,0,5,13,0.0,0.0,192.3
2041,TRANSFER,24,Virginia,,12,0,0,10,2.0,0.0,137.75
2041,OVERALL,25,Panama City,,30,0,10,20,0.0,0.0,216.85
2041,HS,25,Clemson,,12,1,9,2,0.0,0.0,190.35
2041,TRANSFER,25,South Carolina,,11,0,0,11,0.0,0.0,135.75
2041,OVERALL,26,Baylor,,27,0,9,18,0.0,0.0,215.1
2041,HS,26,Auburn,,17,1,3,13,0.0,0.0,190.2
2041,TRANSFER,26,Texas A&M,,10,0,1,9,0.0,0.0,132.65
2041,OVERALL,27,NC State,,25,0,9,14,2.0,0.0,214.35
2041,HS,27,UCLA,,22,0,3,19,0.0,0.0,189.0
2041,TRANSFER,27,Temple,,10,0,0,10,0.0,0.0,127.65
2041,OVERALL,28,LSU,,26,0,9,12,5.0,0.0,213.95
2041,HS,28,USF,Josh,12,2,6,4,0.0,0.0,188.9
2041,TRANSFER,28,LSU,,11,0,1,5,5.0,0.0,123.95
2041,OVERALL,29,Oklahoma,,16,0,13,3,0.0,0.0,211.5
2041,HS,29,Notre Dame,,12,1,8,3,0.0,0.0,187.3
2041,TRANSFER,29,California,,12,0,0,6,6.0,0.0,123.65
2041,OVERALL,30,UCLA,,28,0,5,23,0.0,0.0,200.9
2041,HS,30,Oklahoma State,,17,0,4,13,0.0,0.0,185.2
2041,TRANSFER,30,UCF,,11,0,0,7,4.0,0.0,122.95
2041,OVERALL,31,Arizona State,,27,0,5,22,0.0,0.0,200.45
2041,HS,31,Iowa,,23,0,2,19,2.0,0.0,184.25
2041,TRANSFER,31,Memphis,,10,0,0,8,2.0,0.0,121.25
2041,OVERALL,32,Duke,,21,0,6,14,1.0,0.0,198.65
2041,HS,32,Maryland,,14,0,4,10,0.0,0.0,173.8
2041,TRANSFER,32,Utah,,12,0,0,5,7.0,0.0,119.35
2041,OVERALL,33,Oklahoma State,,27,0,5,18,4.0,0.0,197.65
2041,HS,33,Georgia Tech,,13,0,4,9,0.0,0.0,168.55
2041,TRANSFER,33,Oklahoma State,,10,0,1,5,4.0,0.0,118.55
2041,OVERALL,34,Tennessee,,18,0,6,11,1.0,0.0,195.35
2041,HS,34,Marshall,,18,0,0,15,2.0,1.0,164.15
2041,TRANSFER,34,Toledo,,9,0,0,9,0.0,0.0,118.5
2041,OVERALL,35,Georgia Tech,,21,0,4,17,0.0,0.0,192.35
2041,HS,35,Virginia Tech,,14,0,2,11,1.0,0.0,162.4
2041,TRANSFER,35,East Carolina,,9,0,0,9,0.0,0.0,118.5
2041,OVERALL,36,Texas A&M,,21,0,4,17,0.0,0.0,191.75
2041,HS,36,Oklahoma,,9,0,9,0,0.0,0.0,158.0
2041,TRANSFER,36,Wake Forest,,9,0,0,9,0.0,0.0,118.5
2041,OVERALL,37,SMU,,19,0,6,9,4.0,0.0,191.2
2041,HS,37,Michigan State,,25,0,0,9,15.0,1.0,156.65
2041,TRANSFER,37,Arizona State,,9,0,0,9,0.0,0.0,118.5
2041,OVERALL,38,Arkansas,,17,0,5,12,0.0,0.0,188.75
2041,HS,38,SMU,,11,0,4,7,0.0,0.0,155.35
2041,TRANSFER,38,Oklahoma,,7,0,4,3,0.0,0.0,116.95
2041,OVERALL,39,Iowa,,29,0,2,24,3.0,0.0,187.2
2041,HS,39,Wake Forest,,16,0,0,11,5.0,0.0,153.55
2041,TRANSFER,39,UMass,,9,0,0,8,1.0,0.0,115.15
2041,OVERALL,40,Virginia Tech,,21,0,3,15,3.0,0.0,185.65
2041,HS,40,Missouri,,14,0,1,10,3.0,0.0,153.05
2041,TRANSFER,40,Clemson,,7,0,3,4,0.0,0.0,112.2
2041,OVERALL,41,Maryland,,17,0,4,13,0.0,0.0,185.2
2041,HS,41,North Carolina,,12,0,2,10,0.0,0.0,152.75
2041,TRANSFER,41,Washington St.,,9,0,0,7,2.0,0.0,111.45
2041,OVERALL,42,Alabaster,,14,0,6,8,0.0,0.0,182.1
2041,HS,42,West Virginia,,12,0,2,10,0.0,0.0,152.75
2041,TRANSFER,42,Kentucky,,9,0,0,7,2.0,0.0,111.45
2041,OVERALL,43,North Carolina,,18,0,3,14,1.0,0.0,181.8
2041,HS,43,Texas,,10,0,5,5,0.0,0.0,151.8
2041,TRANSFER,43,Boise State,,9,0,0,7,2.0,0.0,111.45
2041,OVERALL,44,Houston,,25,0,1,22,2.0,0.0,180.55
2041,HS,44,Arkansas,,10,0,5,5,0.0,0.0,151.8
2041,TRANSFER,44,Georgia Tech,,8,0,0,8,0.0,0.0,108.45
2041,OVERALL,45,California,,24,0,2,14,8.0,0.0,179.1
2041,HS,45,Texas A&M,,11,0,3,8,0.0,0.0,150.6
2041,TRANSFER,45,FIU,,8,0,0,8,0.0,0.0,108.45
2041,OVERALL,46,North Texas,,28,0,0,27,1.0,0.0,177.15
2041,HS,46,Colorado,,14,0,0,11,3.0,0.0,148.05
2041,TRANSFER,46,San Diego St.,,7,0,3,3,1.0,0.0,108.2
2041,OVERALL,47,Death Valley,,20,0,2,15,3.0,0.0,176.55
2041,HS,47,California,,12,0,2,8,2.0,0.0,147.7
2041,TRANSFER,47,Death Valley,,9,0,0,6,3.0,0.0,107.45
2041,OVERALL,48,Missouri,,23,0,1,16,6.0,0.0,175.85
2041,HS,48,Alabaster,,10,0,4,6,0.0,0.0,147.25
2041,TRANSFER,48,Missouri,,9,0,0,6,3.0,0.0,107.45
2041,OVERALL,49,San Diego St.,,14,0,5,8,1.0,0.0,175.3
2041,HS,49,North Texas,,13,0,0,12,1.0,0.0,146.9
2041,TRANSFER,49,Bowling Green,Devin,6,0,4,2,0.0,0.0,104.95
2041,OVERALL,50,Wake Forest,,25,0,0,20,5.0,0.0,174.6
2041,HS,50,Purdue,,16,0,0,9,6.0,1.0,146.55
2041,TRANSFER,50,Georgia,,6,0,4,2,0.0,0.0,104.95
2041,OVERALL,51,Wisconsin,,16,0,3,11,2.0,0.0,174.55
2041,HS,51,Minnesota,,17,0,0,8,9.0,0.0,146.55
2041,TRANSFER,51,Stanford,,8,0,0,7,1.0,0.0,104.75
2041,OVERALL,52,West Virginia,,21,0,2,13,6.0,0.0,173.9
2041,HS,52,Death Valley,,11,0,2,9,0.0,0.0,145.7
2041,TRANSFER,52,Indiana,,8,0,0,7,1.0,0.0,104.75
2041,OVERALL,53,Marshall,,24,0,0,20,3.0,1.0,173.65
2041,HS,53,Wisconsin,,11,0,3,6,2.0,0.0,144.85
2041,TRANSFER,53,Kansas,,10,0,0,4,6.0,0.0,104.7
2041,OVERALL,54,Temple,,24,0,0,18,6.0,0.0,173.05
2041,HS,54,Troy,,21,0,0,5,16.0,0.0,139.55
2041,TRANSFER,54,NC State,,7,0,3,2,2.0,0.0,103.9
2041,OVERALL,55,Memphis,,22,0,0,19,2.0,1.0,172.2
2041,HS,55,Temple,,14,0,0,8,6.0,0.0,138.95
2041,TRANSFER,55,SMU,,8,0,2,2,4.0,0.0,101.85
2041,OVERALL,56,Colorado,,21,0,0,18,3.0,0.0,171.45
2041,HS,56,Memphis,,12,0,0,11,0.0,1.0,138.1
2041,TRANSFER,56,Missouri State,,14,0,0,0,13.0,1.0,101.05
2041,OVERALL,57,Virginia,,23,0,0,18,5.0,0.0,171.3
2041,HS,57,Houston,,11,0,1,9,1.0,0.0,138.05
2041,TRANSFER,57,USC,,6,0,3,3,0.0,0.0,100.2
2041,OVERALL,58,Indiana,,20,0,0,17,3.0,0.0,169.8
2041,HS,58,Boston College,,11,0,1,9,1.0,0.0,138.05
2041,TRANSFER,58,UConn,,9,0,0,4,5.0,0.0,98.6
2041,OVERALL,59,Illinois,,27,0,0,14,13.0,0.0,168.8
2041,HS,59,Indiana,,12,0,0,10,2.0,0.0,137.75
2041,TRANSFER,59,Fresno State,,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,60,Toledo,,19,0,0,17,2.0,0.0,168.7
2041,HS,60,UCF,,24,0,0,4,20.0,0.0,136.6
2041,TRANSFER,60,Air Force,,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,61,Purdue,,22,0,0,15,6.0,1.0,168.65
2041,HS,61,Fresno State,,23,0,0,4,19.0,0.0,136.2
2041,TRANSFER,61,Ohio,,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,62,Boston College,,17,0,1,14,2.0,0.0,168.05
2041,HS,62,Syracuse,,22,0,0,4,17.0,1.0,135.35
2041,TRANSFER,62,Ball State,,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,63,Minnesota,,23,0,0,14,9.0,0.0,168.0
2041,HS,63,Miami (OH),,14,0,0,7,7.0,0.0,135.25
2041,TRANSFER,63,Miami (OH),,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,64,East Carolina,,19,0,0,16,3.0,0.0,167.65
2041,HS,64,Louisville,,12,0,0,9,3.0,0.0,134.7
2041,TRANSFER,64,Colorado,,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,65,FIU,,22,0,0,14,8.0,0.0,167.5
2041,HS,65,Tulane,,10,0,2,7,1.0,0.0,134.55
2041,TRANSFER,65,Baylor,,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,66,Stanford,,15,0,2,12,1.0,0.0,167.15
2041,HS,66,Tulsa,,14,0,0,7,6.0,1.0,133.5
2041,TRANSFER,66,Ga Southern,,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,67,Michigan State,,32,0,0,13,18.0,1.0,166.8
2041,HS,67,Kansas,,13,0,0,7,6.0,0.0,131.75
2041,TRANSFER,67,Troy,,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,68,Miami (OH),,21,0,0,14,7.0,0.0,166.8
2041,HS,68,Hawai'i,,18,0,0,4,14.0,0.0,131.7
2041,TRANSFER,68,Arkansas,,7,0,0,7,0.0,0.0,97.35
2041,OVERALL,69,Troy,,28,0,0,12,16.0,0.0,165.8
2041,HS,69,FIU,,14,0,0,6,8.0,0.0,131.25
2041,TRANSFER,69,Mississippi St.,,8,0,0,5,3.0,0.0,96.45
2041,OVERALL,70,E. Michigan,,23,0,0,14,3.0,6.0,164.9
2041,HS,70,Southern Miss,,14,0,0,6,8.0,0.0,131.25
2041,TRANSFER,70,BYU,,8,0,0,5,3.0,0.0,96.45
2041,OVERALL,71,Fresno State,,30,0,0,11,19.0,0.0,164.05
2041,HS,71,Cincinnati,,16,0,0,5,10.0,1.0,131.2
2041,TRANSFER,71,UCLA,,6,0,2,4,0.0,0.0,95.3
2041,OVERALL,72,UCF,,35,0,0,11,24.0,0.0,163.6
2041,HS,72,Middle Tenn,,13,0,0,6,7.0,0.0,127.75
2041,TRANSFER,72,Wyoming,,7,0,1,4,2.0,0.0,94.05
2041,OVERALL,73,Louisville,,17,0,0,14,3.0,0.0,161.8
2041,HS,73,Virginia,,11,0,0,8,3.0,0.0,126.65
2041,TRANSFER,73,Virginia Tech,,7,0,1,4,2.0,0.0,94.05
2041,OVERALL,74,Middle Tenn,,19,0,0,12,7.0,0.0,161.1
2041,HS,74,Oregon State,,16,0,0,4,11.0,1.0,126.65
2041,TRANSFER,74,Army,,9,0,0,3,6.0,0.0,93.85
2041,OVERALL,75,Cincinnati,,22,0,0,11,10.0,1.0,161.0
2041,HS,75,Gate City,,11,0,2,3,6.0,0.0,124.6
2041,TRANSFER,75,West Virginia,,9,0,0,3,6.0,0.0,93.85
